"name","group","element","units","context","S321733","S321734","S321735","S321736","S321737","S321738","S321739","S321740","S321741","S321742","S321743","S321744","S321745","S321746","S321747","S321748","S321749","S321750","S321751","S321752","S321753","S321754","S321755","S321756","S321757","S321758","S321759","S321760","S321761","S321762","S321763","S321764","S321765","S321766","S321767","S321768","S321769","S321770","S321771","S321772","S321773","S321774","S321775","S321776","S321777","S321778","S321779","S321780","S321781","S321782","S321783","S321784","S321785","S321786","S321787","S321788","S321789","S321790","S321791","S321792","S321793","S321794","S321795","S321796","S321797","S321798","S321799","S321800","S321801","S321802","S321803","S321804","S321805","S321806","S321807","S321808","S321809","S321810","S321811","S321812","S321813","S321814","S321815","S321816","S321817","S321818","S321819","S321820","S321821","S321822","S321823","S321824","S321825","S321826","S321827","S321828","S321829","S321830","S321831","S321832","S321833","S321834","S321835","S321836","S321837","S321838","S321839","S321840","S321841","S321842","S321843","S321844","S321845","S321846","S321847","S321848","S321849","S321850","S321851","S321852","S321853","S321854","S321855","S321856","S321857","S321858","S321859","S321860","S321861","S321862","S321863","S321864","S321865","S321866","S321867","S321868","S321869","S321870","S321871","S321872","S321873","S321874","S321875","S321876","S321877","S321878","S321879","S321880","S321881","S321882","S321883","S321884","S321885","S321886","S321887","S321888","S321889","S321890","S321891","S321892","S321893","S321894","S321895","S321896","S321897","S321898","S321899","S321900","S321901","S321902","S321903","S321904","S321905","S321906","S321907"
Acridocarpus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenorandia-type (A. kalbreyeri),TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerva-type,UPHE,pollen,NISP,,,,,,,,,1,,2,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,2,3,3,2,,,2,2,2,4,3,,,1,,1,,4,10,22,15,17,15,23,15,18,10,17,19,17,18,28,15,23,11,16,4,5,3,4,5,6,1,4,2,3,3,2,3,11,9,11,9
Alchemilla,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
Alchornea,TRSH,pollen,NISP,,,3,1,1,2,4,5,1,1,3,4,6,5,6,5,4,5,3,10,4,2,1,3,1,7,2,4,1,5,7,3,9,8,4,12,11,1,1,6,5,10,8,11,9,8,5,8,4,4,4,3,6,4,4,5,7,5,17,9,6,11,5,3,3,4,6,7,12,19,22,21,26,14,21,35,25,10,13,7,21,17,19,37,20,10,21,15,21,28,17,32,17,12,26,20,22,18,10,13,18,17,26,18,19,17,15,16,13,10,18,15,22,32,20,17,21,5,1,7,,6,1,1,1,1,3,,,1,4,3,4,3,3,9,5,1,2,,5,,,1,1,1,2,2,,3,1,,,,1,2,,,1,,,2,2,,,,1,,1,1,,1,2,,,
Allophylus,TRSH,pollen,NISP,,,,,,,1,,1,,,,,,1,,,,,,,,,1,1,,,,,,1,,,,,1,1,1,,1,,,1,1,,2,,,1,1,,,,,,1,1,,1,1,1,,1,1,,,,,1,,2,1,1,,,,,,1,5,1,1,1,,3,1,2,3,2,3,,2,1,,,3,,,1,,1,,,2,1,2,,2,,,2,,,,,2,1,6,2,1,2,,,2,,,,1,,,,2,,,,1,1,,,,,,1,2,,2,2,1,,,,1,1,,,,1,1,1,,,1,,2,,,2,,,,1,,,1,4,2
Amaranthaceae undiff.,UPHE,pollen,NISP,,1,,,1,,,2,,,,,3,,,1,,,,,,,,,,3,,,,,1,,1,,,,,,,1,,,,,,,,1,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,1,,,1,1,,,,2,,1,,5,2,4,1,,,6,,1,,6,,5,,1,7,8,5,4,5,3,5,6,4,4,9,2,4,6,1,8
Anacardiaceae undiff.,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anagallis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anopyxis klaineana,MANG,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthocleista,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,1,,,,,1,2,,1,,1,4,,1,,,,1,,1,,1,3,,2,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Anthospermum,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,12,18,,,,1,,,,,,
Antiaris-type (A. toxicaria),TRSH,pollen,NISP,,,,1,,1,1,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,1,,,,3,,,,,,,,,1,,,1,1,,2,1,,,1,1,,,,,1,,,,,,,,2,,1,,1,,2,1,2,,,,,,4,1,,,,,2,1,1,1,5,3,,,,,1,,,,4,3,,6,4,,1,1,,,8,18,5,2,4,,,,,,,4,6,,,,5,1,,1,,,1,,,,4,1,1,,,,,,,3,,1,,,,,,,,,1,,,
Antidesma-type,TRSH,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,1,,,,3,1,,,,,,,,1,,,,3,,,,,,,,,,,,,,1,,,,,,1,,,,4,6,2,,,1,,1,1,1,,,,,,,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,2,,1,1,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,1,,,1
Apiaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,3,1,,,,,,,,,,,,,,,,,,3,,,,,,,5,,,1,2,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,5,,,1,,,,1,1,1,1,,1,,,1,2,,1,3,2,3,,7,3,3,1,,,1,4,1,3,1,,1,1,1,3,1,2,3,2,2
Apocynaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aporrhiza,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,1,,,,,1,,,2,,1,,,,,,,1,1,2,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Araliaceae undiff.,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,7,6,,,,2,,,,,9,5,,,,3,,,,,6,2,,,,11,,,7,,5,9,5,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia,UPHE,pollen,NISP,,,,,2,,,1,,,,,1,1,,1,,,3,,,,,1,,,,,,,,,1,,1,6,,,,2,,2,5,,,,4,3,1,,,,,1,,,2,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,1,1,,,,2,,4,,,,,1,1,,2,1,2,,1,2,2,,,,,1,3,1,6,,2,1,7,,,,,2,2,2,,1,1,,,,,,,1,2
Ascolepis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
